,case title,judges name(s),date of judgment,citation,issues,decision,cited cases
66,Gapadibai vs State Of Madhya Pradesh,"A Koshal, P Kailasam, S M Ali","8 February, 1980"," AIR 1980 SC 1040, (1980) 2 SCC 327, 1980 (12) UJ 498 SC",Article 133 in The Constitution Of India 1949 ; ,1,{}
67,"Inter Continental, Agencies Pvt. ... vs Amin Chand Khanna And Anr.","O C Reddy, R Sarkaria","14 February, 1980"," AIR 1980 SC 951, 1980 CRILJ 689, (1980) 3 SCC 103, 1980 (12) UJ 303 SC",,1,{'smt. basava kom dyamogouda patil v. state of mysore and anr ': 1.0}
68,Meet Singh vs State Of Punjab,"Desai, D.A.","27 February, 1980"," 1980 AIR 1141, 1980 SCR  (2)1152","Section 161 in The Indian Penal Code ; Section 16 in The Prevention of Food Adulteration Act, 1954 ; section 5 prevention of corruption act ; section 2 prevention of corruption act ; ",1,"{'jagdish prasad v. west bengal ': 1.0, 'jagdish prasad v. west bengal this ': 1.0}"
69,State Of Gujarat vs Patel Bava Karsan & Ors,"Fazalali, Syed Murtaza","22 February, 1980"," 1980 AIR 1144, 1980 SCR  (2)1087",Article 14 in The Constitution Of India 1949 ; Article 19 in The Constitution Of India 1949 ; ,1,"{""northern indian caterers' private limited v. state of punjab and others "": 1.0, 'northern india caterers pvt. ltd. & anr. v. state of punjab & anr ': 1.0, 'ahmedabad municipal corporation & ors. v. ramanlal govindram & ors ': 1.0}"
70,Bishwanath Pandey vs Badami Kaur And Ors.,"P Kailasam, S M Ali","26 February, 1980"," AIR 1980 SC 1329, (1980) 2 SCC 349, 1980 (12) UJ 330 SC",,1,{}
71,Bhaiya Shankar Pratap Deo vs Tapeshwari Singh And Ors.,"A Koshal, P Kailasam, S M Ali","8 February, 1980"," AIR 1980 SC 1223, (1980) 2 SCC 308, 1980 (12) UJ 417 SC",,1,{}
72,Narinder Singh Suri vs Union Of India (Uoi) And Ors.,"A Koshal, P Kailasam, S M Ali","1 February, 1980"," AIR 1980 SC 945, 1980 CRILJ 683, (1980) 2 SCC 357, 1980 (12) UJ 505 SC",,1,{}
73,Pooran Singh vs State Of Uttar Pradesh,"O C Reddy, R Sarkaria","8 February, 1980"," AIR 1981 SC 1638, 1981 CRILJ 1284",,0,{}
74,Kusho Mahton And Anr. vs State Of Bihar,"O C Reddy, R Sarkaria","7 February, 1980"," AIR 1980 SC 788, 1980 CRILJ 313, 1980 SUPP (1) SCC 344",,0,{}
75,Kasambhai Ardul Rehmanbhai ... vs State Of Gujarat & Anr,"Bhagwati, P.N.","13 February, 1980"," 1980 AIR  854, 1980 SCR  (2)1037","Section 7 in The Prevention of Food Adulteration Act, 1954 ; Article 21 in The Constitution Of India 1949 ; ",0,{}
76,Uttam Chand vs State Of Maharashtra & Anr,"Fazalali, Syed Murtaza","14 February, 1980"," 1980 AIR  806, 1980 SCR  (2)1048",,0,{}
77,Babu Rao Patel vs State Of Delhi,"Reddy, O. Chinnappa (J)","21 February, 1980"," 1980 AIR  763, 1980 SCR  (2)1082",,0,{}
78,Naresh Kumar vs State Of Maharashtra,"A Koshal, P Kailasam, S M Ali","1 February, 1980"," AIR 1980 SC 1168, 1980 CRILJ 920, (1980) 2 SCC 358, 1980 (12) UJ 617 SC","Section 34 in The Indian Penal Code ; Section 2 in The Supreme Court (Enlargement of Criminal Appellate Jurisdiction) Act, 1970 ; ",0,{}
79,Smt. Mukhtiar Kaur vs State Of Punjab,"A Koshal, P Kailasam, S M Ali","5 February, 1980"," 1980 CRILJ 1420, (1980) 2 SCC 369, 1980 (12) UJ 640 SC",Section 302 in The Indian Penal Code ; ,1,{}
80,Raghunandan Singh & Ors vs Brij Mohan Singh & Ors,"Fazalali, Syed Murtaza","15 February, 1980"," 1980 AIR  869, 1980 SCR  (2)1063",,1,{'lrs v. ram prasad singh and others ': 1.0}
81,"Raja Dharampal Singh vs Director, Small Industries ...","E Venkataramiah, P Bhagwati","26 February, 1980"," AIR 1980 SC 1888, 1980 SUPP (1) SCC 505",Article 226 in The Constitution Of India 1949 ; ,1,{}
82,Qamruddin vs Acqeel And Ors.,"P Kailasam, S M Ali","25 February, 1980"," AIR 1982 SC 1229, 1982 CRILJ 1741 A, 1981 SUPP (1) SCC 58",,1,{}
83,Kundlik vs State Of Maharashtra,"O C Reddy, R Sarkaria","2 February, 1980"," 1980 CRILJ 322, (1980) 1 SCC 178, 1980 SUPP (1) SCC 178",,0,{}
84,Kallyani vs Narayanan And Ors,"Tulzapurkar, V.D.","27 February, 1980"," 1980 AIR 1173, 1980 SCC  (2)1130",,0,"{'g] brijraj singh v. sheodan singh ': 0.8, 'g] h. n. aryamurthy & anr. v. n. d. subbaraya setty ': 0.8, 'f] palani ammal v. muthuvenkatachala mariagon ': 0.8, 'bhagwan dayal v. mrs. reoti devi ': 0.8, 'bhagwati prasad shah and ors. v. pulhin rameshwari juer and anr ': 0.8, 'dayal v. mrs. reoti bai ': 0.8, 'boddu venkatakrishna rao and ors. v. boddu satyavathi and ors ': 1.0, 'smt. krishnabai bhritar ganpatrao deshmukh v. appasaheb tuljaramarao nimbalkar & ors. a ': 1.0, 'girja bai v. sadashiv ': 1.0, 'kandaswami v. doraiswami ayyar ': 1.0, 'm. n. aryamurthy & anr. v. m. d. subbaraya setty ': 1.0, 'lakshmi chand v. anandi ': 1.0, 'raghavamma v. chenchamma ': 1.0, 'palani ammal v. muthuvenkatachala moniagar ': 1.0, 'in bhagwan dayal v. smt. reoti devi ': 1.0, 'in sengoda v. muthu ': 1.0, 'in boddu venkatakrishna rao & ors. v. boddu satyavathi & ors ': 1.0}"
85,Union Of India (Uoi) vs Upper Doab Sugar Mills Ltd.,"A Koshal, P Kailasam, S M Ali","6 February, 1980"," AIR 1980 SC 1311, (1980) 2 SCC 310, 1980 (12) UJ 367 SC",Article 8 in The Constitution Of India 1949 ; ,1,"{'union of india v. chaman lal loopa ': 1.0, 'union of india v. chian bhai jeshinobhai i.l.r ': 1.0, 'steam navigation co. ltd. v. union of india ': 1.0}"
86,Uttar Chand (Dead) By Lrs. vs State Of Maharashtra And Anr.,"A Koshal, S M Ali","14 February, 1980"," AIR 1980 SC 806, (1980) 2 SCC 292, 1980 2 SCR 1048, 1980 (12) UJ 392 SC",,1,{}
87,N. K. V. Bros (P) Ltd vs M. Karumai Ammal And Ors. Etc,"Krishnaiyer, V.R.","21 March, 1980"," 1980 AIR 1354, 1980 SCR  (3) 101",Article 41 in The Constitution Of India 1949 ; Article 136 in The Constitution Of India 1949 ; ,1,{}
88,Niranjan Singh & Anr vs Prabhakar Rajaram Kharote & Ors,"Krishnaiyer, V.R.","10 March, 1980"," 1980 AIR  785, 1980 SCR  (3)	 15","Section 439 in The Code Of Criminal Procedure, 1973 ; Section 302 in The Code Of Criminal Procedure, 1973 ; Section 395 in The Code Of Criminal Procedure, 1973 ; Section 341 in The Code Of Criminal Procedure, 1973 ; Section 202 in The Code Of Criminal Procedure, 1973 ; ",1,{}
89,"Advocate General, State Of Bihar vs Madhya Pradesh Khair Industries ...","Sarkaria, Ranjit Singh","5 March, 1980"," 1980 AIR  946, 1980 SCR  (2)1172","Article 226 in The Constitution Of India 1949 ; Section 20 in the Contempt of Courts Act, 1971 ; Section 19 in the Contempt of Courts Act, 1971 ; ",1,{}
90,State Of Maharashtra vs Mohd. Yakub S/O Abdul Hamid & Ors,"Sarkaria, Ranjit Singh","4 March, 1980"," 1980 AIR 1111, 1980 SCR  (2)1158","Section 3 in The Indian Evidence Act, 1872 ; ",1,"{'e] abhayanand mishra v. state of bihar ': 0.8, 'abhavanand mishra v. the state of bihar ': 0.8, 'malkiat singh & anr. v. state of punjab ': 1.0, 'in abhayanand mishra v. the state of bihar ': 1.0, 'in malkiat singh & anr v. state of punjab ': 1.0}"
91,Vishesh Kumar vs Shanti Prasad,"Pathak, R.S.","12 March, 1980"," 1980 AIR  892, 1980 SCR  (3)	 32","Section 25 in The Provincial Small Cause Courts Act, 1887 ; ",0,"{'c-f] m/s. jupiter fund (pvt.) ltd. v. dwarka diesh dayal and others ': 0.8, 'e-42 a-d] bimla rani kohli v. m/s. bandu motor finance pvt. ltd ': 0.8, 'har parasad singh and others v. ram swarup and others ': 0.8, 'phool wati and others v. gur sahai ': 1.0, 'm/s jupiter fund (pvt.) ltd. v. dwarka diesh dayal and others ': 1.0, 'bimla rani kohli v. m/s. bandu motor finance (p) ltd ': 1.0}"
92,Charles. K. Skaria vs Dr.C.Mathew,"Krishnaiyer, V.R.","19 March, 1980"," 1980 AIR 1230, 1980 SCR  (3)	 71",Article 14 in The Constitution Of India 1949 ; ,0,"{'a. periakaruppan v. state of tamilnadu ': 0.8, 'state of kerala and anr. v. rafia rahim ': 0.8, 'harla v. state of rajasthan ': 1.0, 'state of kerala v. kumari t.p. roshana and anr ': 1.0}"
93,Sunil Kumar Banerjee vs State Of West Bengal And Ors,"Reddy, O. Chinnappa (J)","26 March, 1980"," 1980 AIR 1170, 1980 SCR  (3) 179","Section 342 in The Code Of Criminal Procedure, 1973 ; Section 313 in The Code Of Criminal Procedure, 1973 ; ",0,"{'e-f] k. c. mathew v. the state of travancore-cochin ': 0.8, 'bibhuti bhusan das gupta and anr. v. state of west bengal ': 0.8, 'k. c. mathew v. state of travancore-cochin ': 1.0, 'bibhuti bhusan das gupta & anr. v. state of west bengal ': 1.0}"
94,Himalayan Tiles & Marbles (P) Ltd vs Francis Victor Coutinho (Dead) By ...,"Fazalali, Syed Murtaza","28 March, 1980"," 1980 AIR 1118, 1980 SCR  (3) 235","Section 7 in The Land Acquisition Act, 1894 ; Section 40 in The Land Acquisition Act, 1894 ; Section 41 in The Land Acquisition Act, 1894 ; Section 4 in The Land Acquisition Act, 1894 ; ",0,"{'sunder lal v. paramsukhdas ': 0.8, 'm. kurpuswami v. the special tahsildar (l.a ': 0.8, 'comilla electric supply ltd. v. east bengal bank ltd. comilla & ors ': 0.8, 'r. l. arora v. state of u. p ': 1.0, 'r. l. arora v. state of uttar pradesh ': 1.0, 'r.l. arora v. state of u.p ': 1.0, 'r.l. arora v. state of uttar pradesh & ors ': 1.0, 'comilla electric supple ltd. v. east bengal bank ltd., comila & ors ': 1.0}"
95,Ramesh Chandra Etc vs State Of U.P. Etc,"Chandrachud, Y.V. (Cj), Krishnaiyer, V.R., Untwalia, N.L., Shingal, P.N., Koshal, A.D.","25 March, 1980"," 1980 AIR 1124, 1980 SCR  (3) 104","Section 2 in The Uttar Pradesh Appropriation Act, 1996 ; Article 19 in The Constitution Of India 1949 ; Article 14 in The Constitution Of India 1949 ; ",1,"{'d] kewal krishan puri v. state of punjab ': 0.8, 'a-b] b. banerjee v. anita pan ': 0.8, 'm/s. s. k. g. sugar ltd. v. state of bihar & ors ': 0.8, 'h. h. sudhundra thirtha swamiar v. commissioner ': 1.0, 'm/s. s. k.g. sugar ltd. v. state of bihar and ors. it ': 1.0, 'k. n. marudaradhya v. the mysore state ': 1.0}"
96,Sri. Raja Lakshmi Dyeing Works And ... vs Rangaswamy Chettiar,"O C Reddy, R Pathak","26 March, 1980"," AIR 1980 SC 1253, (1980) 4 SCC 259, 1980 (12) UJ 610 SC","Section 25 in The Delhi Rent Act, 1995 ; ",1,"{'madan lal pun v. sain das berry ': 1.0, 'mattulal v. radhe lal ': 1.0}"
97,Ram Chandra Kailash Kumar And ... vs State Of U.P. And Anr.,"Y Chandrachud, N Untwalia, P Shinghal, V K Iyer, A Koshal","25 March, 1980"," AIR 1980 SC 1124, 1980 SUPP (1) SCC 27, 1980 3 SCR 104","Section 2 in The Uttar Pradesh Appropriation Act, 1996 ; Section 7 in The States Reorganisation Act, 1956 ; ",1,"{'kewal krishan puri v. state of punjab ': 0.8, 'b. banerjee v. anita pan ': 0.8, 's.k.g. sugar ltd. v. state of bihar and ors ': 1.0, 'h.h. sudhundra thirtha swamiar v. commissioner ': 1.0, 'k.n. marudaradhya v. the mysore state ': 1.0}"
98,Col. A.S. Sangwan vs Union Of India (Uoi) And Ors.,"O C Reddy, V K Iyer","26 March, 1980"," AIR 1981 SC 1545, 1981 LABLC 831, 1980 SUPP (1) SCC 559, 1980 (12) UJ 519 SC",Article 14 in The Constitution Of India 1949 ; Article 226 in The Constitution Of India 1949 ; ,1,{}
99,Dr. N.C. Singhal vs Union Of India (Uoi) And Ors.,"D Desai, E Venkataramiah","15 March, 1980"," AIR 1980 SC 1255, 1980 LABLC 710, (1980) 3 SCC 29, 1980 3 SCR 44",Article 16 in The Constitution Of India 1949 ; ,0,"{'union of india and ors. v. s.b. kohli and anr ': 0.8, 'ii. in union of india v. bhim singh and ors ': 0.8, 'in p.c. sethi and ors. v. union of india and ors ': 0.8, 'j.k. steel ltd. v. union of india ': 1.0, 'madras v. k. srinivasan and k. gopalan ': 1.0, 'in e.p. royappa v. state of tamil nadu and anr ': 1.0, 'm. ramanatha pillai v. the state of kerala and anr ': 1.0, 'chitra ghosh and anr. v. union of india and ors ': 1.0}"
100,"Nasir Ahemed vs Assistant Custodian General, ...","Gupta, A.C.","28 March, 1980"," 1980 AIR 1157, 1980 SCR  (3) 248","Section 7 in The Administration Of Evacuee Property Act, 1950 ; Section 24 in The Administration Of Evacuee Property Act, 1950 ; ",0,{}
101,Superintendence Company Of India ... vs Sh. Krishan Murgai,"A Sen, N Untwalia, V Tulzapurkar","21 March, 1980"," AIR 1980 SC 1717, 1980 (41) FLR 137, (1981) ILLJ 121 SC, (1981) 2 SCC 246, 1980 3 SCR 1278","Section 27 in The Indian Contract Act, 1872 ; Section 28 in The Indian Contract Act, 1872 ; Section 56 in The Indian Contract Act, 1872 ; section 27 contract act ; ",0,"{'niranjan shankar golikari v. century spinning and mfg. co. ltd ': 0.8, 'the brahmaputra tea co. ltd. v. scarth, i.l.r ': 0.8, 'general billposting v. atkinson l.r ': 1.0, 'in mills v. dunham, l.r ': 1.0}"
102,State Of U.P. And Anr vs M. J. Siddiqui And Ors,"Fazalali, Syed Murtaza","31 March, 1980"," 1980 AIR 1098, 1980 SCR  (3) 254",Article 309 in The Constitution Of India 1949 ; Article 14 in The Constitution Of India 1949 ; ,0,"{'f-g] kewal krihsan bagga v. the chairman railway board and ors ': 1.0, 'parshotom lal dhingra v. union of india ': 1.0, 'kewal krishan baga v. the chairman, railway board & ors ': 1.0}"
103,State Of Gujarat & Anr vs Vaghela Dayabhai Chaturbhai & Ors,"Venkataramiah, E.S. (J)","5 March, 1980"," 1980 SCR  (2)1182, 1980 SCC  (3) 318",Article 14 in The Constitution Of India 1949 ; Article 226 in The Constitution Of India 1949 ; ,0,{}
104,Dr. Rajendra Prakash Sharma vs Gyan Chandra & Ors,"Sarkaria, Ranjit Singh","27 March, 1980"," 1980 AIR 1206, 1980 SCR  (3) 207","Section 7 in The Transfer of Property Act, 1882 ; Section 46 in The Administration Of Evacuee Property Act, 1950 ; ",0,"{'c] custodian of evacuee property, punjab & ors. v. jafran begum ': 0.8, 'c] fazalbhoy v. official, trustee of maharashtra ': 0.8, 'custodian of evacuee property, punjab and ors. v. jafran begum ': 0.8, 'n. s. gujral v. custodian of evacuee property and anr ': 1.0, 'fazalbhoy v. official trustee of maharashtra ': 1.0, 'khalil ahmed khan v. malka mehar nigar begum ': 1.0}"
105,N. C. Shinghal vs Union Of India,"Desai, D.A.","19 March, 1980"," 1980 AIR 1255, 1980 SCR  (3)	 44",Article 16 in The Constitution Of India 1949 ; ,0,"{'b] union of india and ors. v. d. b. kohli and anr ': 0.8, 'd] union of india v. bhim singh ': 0.8, 'p. c. sethi and ors. v. union of india and ors ': 0.8, 'commissioner of income tax v. k. srinivasan and k. gopalan ': 0.8, 'e-f] e. p. royappa v. state of tamil nadu and anr ': 0.8, 'union of india & ors. v. s. b. kohli & another ': 1.0, 'ii. in union of india v. bhim singh & ors ': 1.0, 'in p. c. sethi & ors. v. union of india & ors ': 1.0, 'j. k. steel ltd. v. union of india ': 1.0, 'madras v. k. srinivasan and k. gopalan ': 1.0, 'in e. p. royappa v. state of tamil nadu & anr ': 1.0, 'm. ramanatha pillai v. the state of kerala and anr ': 1.0, 'chitra ghosh and anr. v. union of india and ors ': 1.0}"
106,Ved Prakash Wadhwa vs Vishwa Mohan,"O C Reddy, V K Iyer","26 March, 1980"," AIR 1982 SC 816, (1981) 3 SCC 667, 1980 (12) UJ 725 SC",Order 1 rule ; ,0,{}
107,"R. R. Engineering Co vs Zila Parishad, Bareilly & Anr","Chandrachud, Y.V. ((Cj), Krishnaiyer, V.R., Untwalia, N.L., Shingal, P.N., Koshal, A.D.","10 March, 1980"," 1980 AIR 1088, 1980 SCR  (3)	  1",Article 277 in The Constitution Of India 1949 ; ,0,"{'e] district board of farrukhabad v. prag dutt ': 0.8, 'fb), zila parishad, muzaffarnagar & anr. v. jugal kishore ram swarup and anr ': 0.8, 'g-h] the notified area committee & anr. v. sri ram singhasan prasad kalwar ': 0.8, 'pandit ram narain v. the state of u.p. in ': 1.0, 'zila parishad muzaffrnagar v. jugal kishore ': 1.0, 'the notified area committee and anr. v. sri ram singhasan prasad kalwar ': 1.0}"
108,Devi Dass vs Mohan Lal,"A Gupta, V Tulzapurkar","25 March, 1980"," AIR 1982 SC 1213, (1982) 1 SCC 495",,0,{}
109,Katyani Dayal And Ors vs Union Of India And Ors,"Reddy, O. Chinnappa (J)","26 March, 1980"," 1980 SCR  (3) 139, 1980 SCC  (3) 245",Article 14 in The Constitution Of India 1949 ; Article 309 in The Constitution Of India 1949 ; ,0,"{'f] b.n. nagarajan v. state of mysore ': 0.8, 'state of kerala v. m.k. krishnan nair and ors ': 0.8, 'e-g] state of punjab v. joginder singh ': 0.8, 'roshan lal tandon v. union of india ': 0.8, 'mervyn coutindo & ors. v. collector of customs, bombay and ors ': 0.8, 'f-g] h.s. varma & ors. v. secretary, ministry of shipping and transport & ors ': 0.8, 'c-h] state of punjab v. joginder singh ': 0.8, 'kishori mohanlal v. union of india ': 1.0, 'jammu & kashmir v. triloki nath khosa and ors ': 1.0, 'mohammad sujat ali and ors. v. union of india and ors ': 1.0, 'a. k. subraman v. union of india ': 1.0, 'b. n. nagarajan & ors. v. state of mysore & ors., state of kerala ': 1.0, 'in state of punjab v. joginder singh ': 1.0, 'in state of jammu & kashmir v. triloki nath khosa & ors ': 1.0, 'moryan coutindo & ors. v. collector of customs, bombay & ors ': 1.0, 'in s. b. patwardhan & ors. v. state of maharashtra & ors ': 1.0, 'in h. s. verma & ors. v. secretary, ministry of shipping & transport & ors ': 1.0, 'mervyn coutinda & ors. v. collector of customs, bombay & ors ': 1.0, 'h. s. verma & anr. v. secretary, ministry of shipping & transport & ors ': 1.0}"
110,Pradesh Kumar Bajpai vs Binod Behari Sarkar,"Fazalali, Syed Murtaza","21 March, 1980"," 1980 AIR 1214, 1980 SCR  (3)	 93","Section 114 in The Transfer of Property Act, 1882 ; Section 3 in The Transfer of Property Act, 1882 ; section 114 transfer of property act ; ",1,"{'v. dhanapal chettiar v. yasodai ammal ': 1.0, 'rattan lal v. vardesh chander ': 1.0}"
111,Kushalbhai Mahojibhai Patel vs A Firm Of Mohmadhussain Rahimbux,"Koshal, A.D.","11 March, 1980"," 1981 AIR  977, 1980 SCR  (3)	 22",Article 133 in The Constitution Of India 1949 ; ,1,{}
112,The Palace Administration Board vs Rama Verma Bharathan Thampuran & ...,"Krishnaiyer, V.R.","27 March, 1980"," 1980 AIR 1187, 1980 SCR  (3) 187","Section 8 in The Insurance (Amendment) Act, 2002 ; Section 3 in The Insurance (Amendment) Act, 2002 ; Section 4 in The Insurance (Amendment) Act, 2002 ; Section 9 in The Insurance (Amendment) Act, 2002 ; Section 7 in The Insurance (Amendment) Act, 2002 ; ",1,{}
113,Mukunda Bore vs Bangshidhar Buragohain And Ors.,"R Pathak, R Sarkaria","27 March, 1980"," AIR 1980 SC 1524, (1980) 4 SCC 336, 1980 (12) UJ 526 SC",Article 226 in The Constitution Of India 1949 ; ,0,{}
114,Shambhu Kuer vs State Of Bihar,"O C Reddy, R Pathak, R Sarkaria","4 March, 1980"," AIR 1982 SC 1228, 1982 CRILJ 1742, (1982) 1 SCC 486",Section 34 in The Indian Penal Code ; Section 326 in The Indian Penal Code ; Section 24 in The Indian Penal Code ; ,0,{}
115,Som Nath vs State Of Haryana,"Krishnaiyer, V.R.","31 March, 1980"," 1980 AIR 1226, 1980 SCR  (3) 280","Section 32 in The Indian Evidence Act, 1872 ; ",0,{}
116,Jai Singh Jairam Tyagi Etc vs Mamanchand Ratilal Agarwal And ...,"Reddy, O. Chinnappa (J)","28 March, 1980"," 1980 AIR 1201, 1980 SCR  (3) 224","Section 3 in The Amending Act, 1897 ; Section 2 in The Amending Act, 1897 ; Section 4 in The Amending Act, 1897 ; ",0,"{'indu bhushan bose v. rama sundari devi and anr ': 0.8, 'in indu bhushan bose v. rama sundari and anr ': 0.8, 'b-d] mathura prasad bajoo jaiswal and ors. v. dessibai n. b. jeejeebhoy ': 0.8, 'indu bhusan bose v. rama sundari devi & anr ': 1.0, 'indu bhusan v. rama sundari devi & anr ': 1.0, 'mathura prasad bajoo jaiswal & ors. v. dessibai n.b. jeejeebhoy ': 1.0, 'mathura prasad bajoo jaiswal & ors. i v. dassibai n.b. jeejeebhoy ': 1.0}"
117,Deep Chand Gobind Ram Asnani vs Union Of India (Uoi),"O C Reddy, V K Iyer","26 March, 1980"," AIR 1981 SC 1635, 1981 SUPP (1) SCC 51, 1980 (12) UJ 416 SC",,0,{}
118,Shri. Subhas Chandra Chetia vs Assam Board Of Revenue And Ors.,"R Pathak, R Sarkaria","27 March, 1980"," (1980) 3 SCC 234, 1980 (12) UJ 683 SC",Article 226 in The Constitution Of India 1949 ; ,0,{}
119,Mahant Ram Kishan Dass vs State Of Punjab And Ors.,"R Pathak, V K Iyer","6 March, 1980"," AIR 1981 SC 1576, (1983) 1 SCC 377",Article 136 in The Constitution Of India 1949 ; Article 26 in The Constitution Of India 1949 ; Article 31 in The Constitution Of India 1949 ; ,0,{}
120,Phanindra Prasad Shukla And Anr vs State Of Madhya Pradesh,"A Koshal, R Pathak","26 March, 1980"," AIR 1981 SC 721, 1981 CRILJ 420, (1981) 3 SCC 661, 1971 SUPPSCR 118",Section 109 in The Indian Penal Code ; ,0,{}
